Results from heasarc_atnfpulsar: ATNF Pulsar Catalog
Coordinate system:  Equatorial
|name            |ra           |dec          |period               |period_error|period_dot  |period_dot_error|dm        |dm_error|flux_1400_mhz|flux_1400_mhz_error|spect_index|spect_index_error|a1             |a1_error|eccentricity|eccentricity_error|min_mass|median_mass|companion_type|mass_ratio|mass_ratio_error|distance|pulsar_type|age     |b_surf  |transverse_velocity|
|PSR J1211-6324  |12 11 24.1800|-63 24 45.200|0.433083926199       |     1.7e-11| 2.57000e-16|         8.0e-18| 333.80000| 1.10000|        0.450|              0.060|           |                 |               |        |            |                  |        |           |              |          |                |    8.05|R          |2.67e+07|3.38e+11|                   |
|PSR J1539-6322  |15 39 24.7000|-63 22 53.200|1.63084630957        |     3.0e-11| 2.01600e-16|         6.0e-19| 163.50000| 0.30000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    7.10|R          |1.28e+08|5.80e+11|                   |
|PSR J0849-6322  |08 49 42.5900|-63 22 35.000|0.367953256307       |     5.0e-12| 7.90800e-16|         5.0e-19|  91.29000| 0.09000|        1.000|              0.200|           |                 |               |        |            |                  |        |           |              |          |                |    0.38|R          |7.37e+06|5.46e+11|                   |
|PSR J1220-6318  |12 20 17.8600|-63 18 46.500|0.78921201205        |     8.0e-11| 8.00000e-17|         1.2e-17| 347.00000| 3.00000|        0.680|              0.080|       -2.9|              0.3|               |        |            |                  |        |           |              |          |                |    8.95|R          |1.56e+08|2.55e+11|                   |
|PSR J1307-6318  |13 07 54.7000|-63 18 35.000|4.9624272525         |     2.0e-09| 2.11000e-14|         4.0e-16| 374.00000| 8.00000|        1.400|              0.500|           |                 |               |        |            |                  |        |           |              |          |                |   10.78|R          |3.72e+06|1.04e+13|                   |
|PSR J1252-6314  |12 52 42.6200|-63 14 32.700|0.82333927128        |     6.0e-11| 1.10000e-16|         3.0e-17| 278.40000| 1.30000|        0.660|              0.080|           |                 |               |        |            |                  |        |           |              |          |                |    7.32|R          |1.20e+08|3.02e+11|                   |
|PSR J1302-6313  |13 02 19.2000|-63 13 29.000|0.9678462129         |     4.0e-10| 6.33000e-15|         8.0e-17| 500.00000|21.00000|        0.180|              0.030|           |                 |               |        |            |                  |        |           |              |          |                |   11.33|R          |2.42e+06|2.50e+12|                   |
|PSR J1233-6312  |12 33 31.5000|-63 12 29.000|0.5647593892         |     4.0e-10| 6.92000e-15|         1.6e-16| 414.00000|13.00000|        0.250|              0.040|           |                 |               |        |            |                  |        |           |              |          |                |   10.02|R          |1.29e+06|2.00e+12|                   |
|PSR J1006-6311  |10 06 36.6000|-63 11 41.200|0.8357974680         |     2.0e-10| 5.73000e-16|         3.0e-18| 195.99000| 0.05000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    2.38|R          |2.31e+07|7.00e+11|                   |
|PSR J1301-6310  |13 01 28.3000|-63 10 40.500|0.66382964770        |     4.0e-11| 5.64330e-14|         5.0e-18|  86.10000| 1.20000|        0.110|              0.020|           |                 |               |        |            |                  |        |           |              |          |                |    1.46|R          |1.86e+05|6.19e+12|                   |
|PSR J1403-6310  |14 03 14.0000|-63 10 27.000|0.39917017693        |     5.0e-11| 9.00000e-17|         2.0e-17| 305.00000| 3.00000|        0.650|              0.070|           |                 |               |        |            |                  |        |           |              |          |                |    5.67|R          |7.03e+07|1.92e+11|                   |
|PSR J1227-63    |12 27 12.0000|-63 09 00.000|0.44457796           |     6.0e-08|            |                | 359.00000| 4.00000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    9.41|R          |        |        |                   |
|PSR J1519-6308  |15 19 09.5600|-63 08 19.500|1.25405163056        |     1.0e-10| 5.96000e-15|         5.0e-17| 250.00000| 3.00000|        0.320|              0.040|           |                 |               |        |            |                  |        |           |              |          |                |   12.37|R          |3.33e+06|2.77e+12|                   |
|PSR J1413-6307  |14 13 31.3160|-63 07 35.450|0.394945790784       |     2.0e-12| 7.43430e-15|         2.0e-19| 121.98000| 0.06000|        1.200|              0.200|       -1.4|              0.4|               |        |            |                  |        |           |              |          |                |    3.04|R          |8.42e+05|1.73e+12|                   |
|PSR J1348-6307  |13 48 42.4000|-63 07 04.000|0.9277722389         |     3.0e-10| 3.79000e-15|         7.0e-17| 597.00000| 3.00000|        0.510|              0.060|       -3.1|              0.5|               |        |            |                  |        |           |              |          |                |   10.64|R          |3.88e+06|1.90e+12|                   |
|PSR J1201-6306  |12 01 23.0100|-63 06 59.500|0.59213602908        |     5.0e-11| 3.55500e-15|         1.1e-17| 683.00000| 3.00000|        0.130|              0.020|           |                 |               |        |            |                  |        |           |              |          |                |    9.54|R          |2.64e+06|1.47e+12|                   |
|PSR J1337-6306  |13 37 20.3500|-63 06 23.300|0.207953012189       |     4.0e-12| 3.55800e-16|         3.0e-19| 777.70000| 1.70000|        0.110|              0.020|           |                 |               |        |            |                  |        |           |              |          |                |   12.93|R          |9.26e+06|2.75e+11|                   |
|PSR J1301-6305  |13 01 45.7600|-63 05 33.900|0.18452809509        |     6.0e-11| 2.66747e-13|         3.0e-18| 374.00000| 1.00000|        0.490|              0.030|       -0.9|              0.2|               |        |            |                  |        |           |              |          |                |   10.72|R          |1.10e+04|7.10e+12|                   |
|PSR J1303-6305  |13 03 00.0200|-63 05 00.800|2.3066415539         |     4.0e-10| 2.18000e-15|         1.6e-16| 343.00000| 3.00000|        0.360|              0.050|       -3.4|              0.8|               |        |            |                  |        |           |              |          |                |   10.25|R          |1.68e+07|2.27e+12|                   |
|PSR J0736-6304  |07 36 20.0100|-63 04 16.000|4.8628739612         |     7.0e-10| 1.51890e-13|         2.5e-16|  19.40000| 0.00000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    0.10|R          |5.07e+05|2.75e+13|                   |
|PSR J1231-6303  |12 31 13.0000|-63 03 18.000|1.3512362992         |     6.0e-10| 1.40000e-15|         2.5e-15| 301.00000|10.00000|        1.500|              1.600|       -2.0|              0.3|               |        |            |                  |        |           |              |          |                |    8.28|R          |1.53e+07|1.39e+12|                   |
|PSR J1317-6302  |13 17 44.6900|-63 02 52.200|0.26127055606        |     3.0e-11| 1.02000e-16|         6.0e-18| 678.10000| 1.20000|        1.600|              0.300|       -2.0|              0.2|               |        |            |                  |        |           |              |          |                |   12.77|R          |4.04e+07|1.66e+11|                   |
|PSR J1324-6302  |13 24 13.6500|-63 02 21.100|2.48380369300        |     1.0e-10| 9.79000e-16|         9.0e-18| 497.00000| 5.00000|        0.230|              0.030|           |                 |               |        |            |                  |        |           |              |          |                |   11.69|R          |4.02e+07|1.58e+12|                   |
|PSR J1327-6301  |13 27 07.4600|-63 01 15.450|0.196479944861       |     3.0e-12| 1.52940e-15|         3.0e-19| 294.91000| 0.03000|        4.200|              0.800|       -1.7|              0.2|               |        |            |                  |        |           |              |          |                |    6.22|R          |2.04e+06|5.55e+11|                   |
|PSR J1123-6259  |11 23 55.5490|-62 59 10.740|0.271434052199       |     3.0e-12| 5.25308e-15|         8.0e-20| 223.26000| 0.03000|        0.510|              0.030|       -2.1|              0.1|               |        |            |                  |        |           |              |          |                |    2.19|R          |8.19e+05|1.21e+12|                   |
|PSR J1056-6258  |10 56 25.5840|-62 58 47.690|0.4224505316190      |     1.8e-12| 3.57750e-15|         6.0e-20| 320.30000| 0.60000|       34.000|              8.000|       -1.1|              0.1|               |        |            |                  |        |           |              |          |                |    2.40|R          |1.87e+06|1.24e+12|                   |
|PSR J1305-6256  |13 05 28.0000|-62 56 39.000|0.47823093284        |     1.2e-10| 2.11000e-15|         4.0e-17| 967.00000| 3.00000|        0.320|              0.040|           |                 |               |        |            |                  |        |           |              |          |                |   25.00|R          |3.59e+06|1.02e+12|                   |
|PSR J1322-62    |13 22 54.0000|-62 51 00.000|1.044851             |     4.0e-06|            |                | 733.60000| 0.00000|        0.300|                   |           |                 |               |        |            |                  |        |           |              |          |                |   15.75|R          |        |        |                   |
|PSR J1133-6250  |11 33 51.4500|-62 50 50.600|1.02287514082        |     9.0e-11| 4.52000e-16|         2.0e-18| 567.80000| 0.50000|        7.000|              1.000|       -1.8|              0.1|               |        |            |                  |        |           |              |          |                |    7.45|R          |3.59e+07|6.88e+11|                   |
|PSR J1154-6250  |11 54 20.1000|-62 50 02.700|0.28201171065        |     3.0e-11| 5.59000e-16|         5.0e-18|  74.00000| 6.00000|        0.070|              0.020|           |                 |               |        |            |                  |        |           |              |          |                |    1.36|R          |7.99e+06|4.02e+11|                   |
|PSR J1354-6249  |13 54 35.0000|-62 49 30.000|2.951938334          |     3.0e-09| 1.48000e-14|         1.1e-15| 254.00000|17.00000|        0.240|              0.030|           |                 |               |        |            |                  |        |           |              |          |                |    5.16|R          |3.16e+06|6.69e+12|                   |
|PSR J1255-62    |12 55 18.0000|-62 48 00.000|0.18291150816        |     3.0e-11|            |                | 713.00000| 4.00000|        0.130|                   |           |                 |               |        |            |                  |        |           |              |          |                |   19.76|R          |        |        |                   |
|PSR J1306-6242  |13 06 44.6000|-62 42 03.000|0.98190211848        |     9.0e-11| 5.86000e-15|         3.0e-17| 480.00000| 6.00000|        0.140|              0.020|           |                 |               |        |            |                  |        |           |              |          |                |   11.43|R          |2.65e+06|2.43e+12|                   |
|PSR J1322-6241  |13 22 32.1500|-62 41 53.500|0.50605841373        |     5.0e-11| 2.58700e-15|         1.8e-17| 618.80000| 1.90000|        0.370|              0.050|           |                 |               |        |            |                  |        |           |              |          |                |   12.24|R          |3.10e+06|1.16e+12|                   |
|PSR J1245-6238  |12 45 21.1200|-62 38 55.900|2.2830933508         |     3.0e-10| 1.09200e-14|         5.0e-17| 336.20000| 2.00000|        0.140|              0.020|           |                 |               |        |            |                  |        |           |              |          |                |    9.96|R          |3.31e+06|5.05e+12|                   |
|PSR J1208-6238  |12 08 13.9600|-62 38 03.300|0.440590723652       |     1.4e-11| 3.26951e-12|         1.0e-18|          |        |             |                   |           |                 |               |        |            |                  |        |           |              |          |                |        |NRAD       |2.14e+03|3.84e+13|                   |
|PSR J1055-6236  |10 55 54.6100|-62 36 48.300|0.44863544246        |     3.0e-11| 7.08000e-16|         7.0e-18| 149.70000| 1.50000|        0.120|              0.020|           |                 |               |        |            |                  |        |           |              |          |                |    1.88|R          |1.00e+07|5.70e+11|                   |
|PSR J1316-6232  |13 16 46.3000|-62 32 12.200|0.34282539844        |     6.0e-11| 5.29700e-15|         2.0e-18| 983.30000| 0.50000|        0.740|              0.080|           |                 |               |        |            |                  |        |           |              |          |                |   25.00|R          |1.03e+06|1.36e+12|                   |
|PSR J1142-6230  |11 42 52.5000|-62 30 03.900|0.55838338569        |     1.0e-10| 7.80000e-17|         3.5e-17| 343.80000| 1.70000|        0.260|              0.040|           |                 |               |        |            |                  |        |           |              |          |                |    3.48|R          |1.13e+08|2.11e+11|                   |
|PSR J1357-62    |13 57 25.0000|-62 28 00.000|0.455761             |     1.0e-06|            |                | 416.80000| 0.40000|       13.200|              2.600|       -1.8|              0.1|               |        |            |                  |        |           |              |          |                |    6.48|R          |        |        |                   |
|PSR J1350-6225  |13 50 44.4500|-62 25 43.800|0.1381577782128      |     1.2e-12| 8.88351e-15|         4.0e-20|          |        |             |                   |           |                 |               |        |            |                  |        |           |              |          |                |        |NRAD       |2.46e+05|1.12e+12|                   |
|PSR J1157-6224  |11 57 15.2070|-62 24 50.930|0.400525716696       |     4.0e-12| 3.93281e-15|         1.2e-19| 325.20000| 0.50000|       14.000|              3.000|       -2.4|              0.1|               |        |            |                  |        |           |              |          |                |    4.00|R          |1.61e+06|1.27e+12|                   |
|PSR J1216-6223  |12 16 41.8900|-62 23 57.800|0.37404678583        |     5.0e-11| 1.68190e-14|         7.0e-18| 790.00000| 1.00000|        0.230|              0.010|           |                 |               |        |            |                  |        |           |              |          |                |   18.29|R          |3.52e+05|2.54e+12|                   |
|PSR J1327-6222  |13 27 17.1760|-62 22 45.460|0.529929186747       |     9.0e-12| 1.87920e-14|         3.0e-19| 318.80000| 0.06000|       21.000|              4.200|           |                 |               |        |            |                  |        |           |              |          |                |    4.00|R          |4.47e+05|3.19e+12|                   |
|PSR J1413-6222  |14 13 05.4700|-62 22 27.800|0.29240770249        |     3.0e-11| 2.22900e-15|         6.0e-18| 808.10000| 1.20000|        0.960|              0.010|           |                 |               |        |            |                  |        |           |              |          |                |   13.09|R          |2.08e+06|8.17e+11|                   |
|PSR J1341-6220  |13 41 42.6300|-62 20 20.700|0.193339746306       |     1.9e-11| 2.53107e-13|         3.0e-18| 719.65000| 0.05000|        2.700|              0.100|       -0.9|              0.1|               |        |            |                  |        |           |              |          |                |   12.60|R          |1.21e+04|7.08e+12|                   |
|PSR J1128-6219  |11 28 46.7000|-62 19 09.000|0.51598351050        |     1.1e-10| 1.10000e-17|         5.0e-18| 675.00000| 9.00000|        0.270|              0.040|           |                 |               |        |            |                  |        |           |              |          |                |    7.40|R          |7.43e+08|7.62e+10|                   |
|PSR J1144-6217  |11 44 02.1100|-62 17 30.300|0.85066494337        |     4.0e-11| 3.08350e-14|         7.0e-18| 284.70000| 0.60000|        0.200|              0.030|           |                 |               |        |            |                  |        |           |              |          |                |    2.64|R          |4.37e+05|5.18e+12|                   |
|PSR J1551-6214  |15 51 36.7880|-62 14 23.370|0.1988386042970      |     8.0e-13| 2.28000e-17|         5.0e-19| 122.00000| 0.00000|        0.312|              0.005|           |                 |               |        |            |                  |        |           |              |          |                |    3.90|R          |1.38e+08|6.81e+10|                   |
|PSR J1933-6211  |19 33 32.4267|-62 11 46.876|0.0035434314937910   |     3.0e-16| 3.87070e-21|         9.0e-25|  11.52000| 0.00200|        2.300|                   |           |                 |   12.281574500| 3.0e-07|  0.00000140|        0.00000004|  0.3237|     0.3824|CO(?)         |          |                |    0.65|R          |1.45e+10|1.19e+08|              37.13|
|PSR J1425-6210  |14 25 07.7000|-62 10 04.900|0.50173030987        |     8.0e-11| 4.80000e-16|         4.0e-17| 430.10000| 1.70000|        0.190|              0.030|           |                 |               |        |            |                  |        |           |              |          |                |    6.85|R          |1.66e+07|4.96e+11|                   |
|PSR J1227-6208  |12 27 00.4413|-62 08 43.789|0.03452783464780     |     2.0e-14| 1.87400e-19|         7.0e-22| 363.00000| 0.20000|        0.220|                   |           |                 |   23.200663000| 3.0e-06|  0.00114920|        0.00000030|  1.2667|     1.5756|CO            |          |                |    9.47|R          |2.92e+09|2.57e+09|                   |
|PSR J1224-6208  |12 24 44.2500|-62 08 41.100|0.58576120812        |     4.0e-11| 2.01960e-14|         1.1e-17| 454.20000| 0.70000|        0.230|              0.030|           |                 |               |        |            |                  |        |           |              |          |                |    9.88|R          |4.60e+05|3.48e+12|                   |
|PSR J1138-6207  |11 38 21.6200|-62 07 59.300|0.117563794023       |     3.0e-12| 1.24784e-14|         5.0e-19| 520.40000| 0.40000|        0.570|              0.030|       -0.9|              0.2|               |        |            |                  |        |           |              |          |                |    7.20|R          |1.49e+05|1.23e+12|                   |
|PSR J1355-6206  |13 55 21.3400|-62 06 20.100|0.276603043150       |     1.0e-11| 3.10000e-18|         6.0e-19| 547.00000| 3.00000|        0.540|              0.060|           |                 |               |        |            |                  |        |           |              |          |                |    7.54|R          |1.41e+09|2.96e+10|                   |
|PSR J1413-6205  |14 13 29.9000|-62 05 38.000|0.10974069969        |     3.0e-11| 2.76800e-14|         4.0e-18|          |        |             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    2.15|NRAD       |6.28e+04|1.76e+12|                   |
|PSR J1338-6204  |13 38 09.3500|-62 04 18.700|1.23898957650        |     4.0e-11| 1.38540e-14|         2.0e-18| 640.30000| 0.70000|        5.900|              1.200|       -1.4|              0.3|               |        |            |                  |        |           |              |          |                |   12.36|R          |1.42e+06|4.19e+12|                   |
|PSR J1305-6203  |13 05 20.9000|-62 03 21.600|0.42776184224        |     8.0e-11| 3.21400e-14|         3.0e-17| 471.00000| 0.10000|        0.670|              0.040|       -1.4|              0.3|               |        |            |                  |        |           |              |          |                |   11.60|R          |2.11e+05|3.75e+12|                   |
|PSR J1329-6158  |13 29 03.3000|-61 58 59.000|1.5652179638         |     8.0e-10| 3.39000e-14|         3.0e-16| 514.00000|11.00000|        0.220|              0.030|           |                 |               |        |            |                  |        |           |              |          |                |   11.87|R          |7.32e+05|7.37e+12|                   |
|PSR J1117-6154  |11 17 23.8100|-61 54 22.000|0.50509714918        |     5.0e-11| 1.25100e-14|         3.0e-17| 493.60000| 0.90000|        1.600|              0.300|           |                 |               |        |            |                  |        |           |              |          |                |    3.98|R          |6.40e+05|2.54e+12|                   |
|PSR J1407-6153  |14 07 56.5000|-61 53 59.000|0.7016149492         |     3.0e-10| 8.85000e-15|         7.0e-17| 645.00000| 9.00000|        0.360|              0.050|           |                 |               |        |            |                  |        |           |              |          |                |    8.21|R          |1.26e+06|2.52e+12|                   |
|PSR J1254-6150  |12 54 32.4800|-61 50 50.800|0.184502203069       |     7.0e-12| 6.24000e-16|         3.0e-18|  95.00000| 3.00000|        0.150|              0.030|           |                 |               |        |            |                  |        |           |              |          |                |    1.53|R          |4.68e+06|3.43e+11|                   |
|PSR J0955-61    |09 55 00.0000|-61 48 00.000|0.001999             |     0.0e+00|            |                | 160.70000| 0.00000|             |                   |           |                 |   13.283000000| 0.0e+00|  0.11000000|        0.00000000|  0.2171|     0.2547|              |          |                |    2.17|HE         |        |        |                   |
|PSR J1144-6146  |11 44 34.8000|-61 46 49.000|0.98778306934        |     1.6e-10|-3.80000e-17|         8.9e-17|  78.70000| 1.30000|        0.450|              0.060|           |                 |               |        |            |                  |        |           |              |          |                |    1.40|R          |        |        |                   |
|PSR J1437-6146  |14 37 15.3100|-61 46 02.000|0.46761632345        |     7.0e-11| 6.33040e-15|         9.0e-19| 200.50000| 1.30000|        0.240|              0.030|           |                 |               |        |            |                  |        |           |              |          |                |    4.25|R          |1.17e+06|1.74e+12|                   |
|PSR J1324-6146  |13 24 43.9000|-61 46 00.000|0.8441085753         |     3.0e-10| 5.58000e-15|         1.4e-16| 828.00000| 9.00000|        0.730|              0.080|           |                 |               |        |            |                  |        |           |              |          |                |   25.00|R          |2.40e+06|2.20e+12|                   |
|PSR J1412-6145  |14 12 07.6900|-61 45 28.800|0.315224970657       |     1.2e-11| 9.86598e-14|         1.3e-18| 514.40000| 0.40000|        0.690|              0.040|       -1.5|              0.2|               |        |            |                  |        |           |              |          |                |    7.11|R          |5.06e+04|5.64e+12|                   |
|PSR J1107-6143  |11 07 12.3000|-61 43 59.000|1.7993956675         |     4.0e-10| 1.55800e-13|         2.0e-16| 406.00000| 3.00000|        0.380|              0.050|       -1.6|              0.2|               |        |            |                  |        |           |              |          |                |    2.94|R          |1.83e+05|1.69e+13|                   |
|PSR J1413-6141  |14 13 09.8700|-61 41 13.000|0.28562462018        |     1.6e-10| 3.33440e-13|         1.5e-16| 670.60000| 0.40000|        0.820|              0.040|       -0.5|              0.2|               |        |            |                  |        |           |              |          |                |    8.49|R          |1.36e+04|9.88e+12|                   |
|PSR J1422-6138  |14 22 27.0700|-61 38 28.000|0.34096785164        |     1.2e-10| 9.68360e-14|         1.1e-17|          |        |        0.000|              0.060|           |                 |               |        |            |                  |        |           |              |          |                |        |NRAD       |5.58e+04|5.81e+12|                   |
|PSR J0856-6137  |08 56 59.3100|-61 37 53.300|0.9625085573         |     3.0e-10| 1.67700e-15|         1.0e-17|  95.00000| 3.00000|        3.300|              0.700|           |                 |               |        |            |                  |        |           |              |          |                |    0.37|R          |9.09e+06|1.29e+12|                   |
|PSR J1441-6137  |14 41 44.3000|-61 37 24.000|1.17584002290        |     1.0e-10| 3.60000e-16|         5.0e-17| 166.00000| 3.00000|        0.150|              0.030|           |                 |               |        |            |                  |        |           |              |          |                |    3.88|R          |5.18e+07|6.58e+11|                   |
|PSR J1705-6135  |17 05 15.3000|-61 35 15.000|0.808546089          |     1.0e-09| 6.00000e-17|         4.0e-17|  95.00000| 5.00000|        0.400|              0.100|           |                 |               |        |            |                  |        |           |              |          |                |    5.58|R          |2.14e+08|2.23e+11|                   |
|PSR J1410-6132  |14 10 24.0000|-61 32 00.000|0.0500519462         |     0.0e+00| 3.20000e-14|         0.0e+00| 961.00000| 0.30000|        1.900|              0.100|           |                 |               |        |            |                  |        |           |              |          |                |   13.51|R          |2.48e+04|1.28e+12|                   |
|PSR J1255-6131  |12 55 54.8600|-61 31 10.100|0.65797363034        |     3.0e-11| 4.00000e-15|         7.0e-18| 206.50000| 1.70000|        0.130|              0.020|           |                 |               |        |            |                  |        |           |              |          |                |    4.82|R          |2.61e+06|1.64e+12|                   |
|PSR J1349-6130  |13 49 36.6500|-61 30 17.100|0.259362860073       |     9.0e-12| 5.12500e-15|         4.0e-18| 284.50000| 0.10000|        0.760|              0.040|       -1.0|              0.2|               |        |            |                  |        |           |              |          |                |    5.49|R          |8.02e+05|1.17e+12|                   |
|PSR J1502-6128  |15 02 29.8400|-61 28 50.300|0.84210384000        |     3.0e-11| 1.34800e-15|         7.0e-18| 256.50000| 1.40000|        0.560|              0.070|       -3.0|              0.4|               |        |            |                  |        |           |              |          |                |    5.19|R          |9.90e+06|1.08e+12|                   |
|PSR J1119-6127  |11 19 14.3000|-61 27 49.500|0.40796298356        |     9.0e-11| 4.02022e-12|         1.7e-18| 704.80000| 0.20000|        1.090|              0.060|       -1.4|              0.2|               |        |            |                  |        |           |              |          |                |    8.40|HE         |1.61e+03|4.10e+13|                   |
|PSR J1406-6121  |14 06 50.0400|-61 21 27.900|0.213074653776       |     1.4e-11| 5.47010e-14|         3.0e-18| 537.80000| 0.40000|        0.440|              0.030|       -0.5|              0.2|               |        |            |                  |        |           |              |          |                |    7.30|R          |6.17e+04|3.45e+12|                   |
|PSR J1706-6118  |17 06 09.7940|-61 18 11.700|0.3619213249276      |     1.5e-12| 2.92130e-16|         4.0e-20|  76.13000| 0.06000|             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    3.39|R          |1.96e+07|3.29e+11|                   |
|PSR J1031-6117  |10 31 02.2400|-61 17 50.600|0.306410837119       |     1.0e-11| 1.78400e-15|         5.0e-18| 506.80000| 1.20000|        0.120|              0.020|           |                 |               |        |            |                  |        |           |              |          |                |    3.38|R          |2.72e+06|7.48e+11|                   |
|PSR J1043-6116  |10 43 55.2900|-61 16 50.800|0.288601695277       |     5.0e-12| 1.04040e-14|         3.0e-18| 448.91000| 0.02000|        1.390|              0.070|       -1.2|              0.1|               |        |            |                  |        |           |              |          |                |    3.06|R          |4.40e+05|1.75e+12|                   |
|PSR J1345-6115  |13 45 44.4300|-61 15 30.600|1.25308459010        |     1.8e-10| 3.25000e-15|         8.0e-17| 278.10000| 2.00000|        0.590|              0.070|       -1.8|              0.4|               |        |            |                  |        |           |              |          |                |    5.56|R          |6.11e+06|2.04e+12|                   |
|PSR J1412-6111  |14 12 59.6200|-61 11 30.500|0.52915639797        |     4.0e-11| 1.91000e-15|         3.0e-17| 311.80000| 0.90000|        0.440|              0.050|       -2.3|              0.7|               |        |            |                  |        |           |              |          |                |    5.28|R          |4.38e+06|1.02e+12|                   |
|PSR J1151-6108  |11 51 56.8600|-61 08 17.600|0.101633196293       |     2.0e-12| 1.02784e-14|         1.0e-18| 216.00000| 1.00000|        0.060|                   |           |                 |               |        |            |                  |        |           |              |          |                |    2.22|R          |1.57e+05|1.03e+12|                   |
|PSR J1105-6107  |11 05 26.1400|-61 07 48.940|0.0632021309179      |     8.0e-13| 1.58446e-14|         8.0e-20| 271.24000| 0.01000|        1.200|              0.070|       -1.1|              0.1|               |        |            |                  |        |           |              |          |                |    2.36|R          |6.32e+04|1.01e+12|                   |
|PSR J1519-6106  |15 19 35.8100|-61 06 54.600|2.15430706064        |     1.4e-10| 8.37200e-15|         1.9e-17| 221.00000| 3.00000|        0.190|                   |           |                 |               |        |            |                  |        |           |              |          |                |    5.05|R          |4.08e+06|4.30e+12|                   |
|PSR J1319-6105  |13 19 26.3200|-61 05 26.200|0.421118114249       |     6.0e-12| 1.50120e-15|         1.1e-18| 442.20000| 0.50000|        0.840|              0.090|       -1.4|              0.2|               |        |            |                  |        |           |              |          |                |   12.19|R          |4.44e+06|8.05e+11|                   |
|PSR J1112-6103  |11 12 14.8100|-61 03 31.100|0.064961851894       |     3.0e-12| 3.14596e-14|         1.3e-18| 599.10000| 0.70000|        2.300|              0.100|       -1.0|              0.1|               |        |            |                  |        |           |              |          |                |    4.50|R          |3.27e+04|1.45e+12|                   |
|PSR J1104-6103  |11 04 17.2620|-61 03 03.880|0.2809053015394      |     1.8e-12| 1.96673e-15|         2.0e-19|  78.50600| 0.01500|        0.240|              0.030|           |                 |               |        |            |                  |        |           |              |          |                |    1.33|R          |2.26e+06|7.52e+11|                   |
|PSR J1123-6102  |11 23 41.7000|-61 02 06.200|0.64023374765        |     3.0e-11| 6.46000e-15|         8.0e-18| 439.40000| 0.40000|        1.100|              0.200|           |                 |               |        |            |                  |        |           |              |          |                |    3.49|R          |1.57e+06|2.06e+12|                   |
|PSR J1101-6101  |11 01 44.9600|-61 01 39.600|0.062800077          |     6.0e-09| 8.60000e-15|         6.0e-16|          |        |             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    7.00|NRAD       |1.16e+05|7.42e+11|                   |
|PSR J1314-6101  |13 14 23.4000|-61 01 16.000|2.9483896038         |     1.5e-09| 1.17000e-14|         9.0e-16| 309.00000|13.00000|        0.410|              0.050|       -3.1|              0.4|               |        |            |                  |        |           |              |          |                |    8.54|R          |3.99e+06|5.94e+12|                   |
|PSR J1435-6100  |14 35 20.2765|-61 00 57.956|0.009347972210248    |     7.0e-15| 2.45000e-20|         5.0e-22| 113.70000| 0.60000|        0.250|              0.040|           |                 |    6.184023000| 4.0e-06|  0.00001050|        0.00000150|  0.8837|     1.0791|CO            |          |                |    2.81|R          |6.05e+09|4.84e+08|                   |
|PSR J1114-6100  |11 14 22.5200|-61 00 34.200|0.88081962549        |     2.0e-11| 4.60876e-14|         6.0e-19| 677.00000| 0.40000|        4.700|              0.900|       -0.9|              0.4|               |        |            |                  |        |           |              |          |                |    5.48|R          |3.03e+05|6.45e+12|                   |
|PSR J1344-6059  |13 44 39.6000|-60 59 31.000|0.54010232140        |     6.0e-11| 4.30000e-17|         4.0e-18| 435.00000| 7.00000|        0.190|              0.030|           |                 |               |        |            |                  |        |           |              |          |                |    7.41|R          |1.99e+08|1.54e+11|                   |
|PSR J1418-6058  |14 18 42.7000|-60 57 49.000|0.110573011690       |     1.3e-11| 1.69394e-13|         1.0e-17|          |        |             |                   |           |                 |               |        |            |                  |        |           |              |          |                |    1.89|NRAD       |1.03e+04|4.38e+12|                   |
|PSR J1319-6056  |13 19 20.2400|-60 56 46.700|0.284352671921       |     4.0e-12| 1.52780e-15|         4.0e-19| 400.94000| 0.04000|        1.300|              0.300|       -2.2|              0.2|               |        |            |                  |        |           |              |          |                |   11.85|R          |2.95e+06|6.67e+11|                   |
|PSR J1135-6055  |11 35 00.0000|-60 55 00.000|0.114943             |     0.0e+00| 7.93000e-14|         0.0e+00|          |        |             |                   |           |                 |               |        |            |                  |        |           |              |          |                |        |NRAD       |2.30e+04|3.05e+12|                   |
|PSR J1126-6054  |11 26 52.6080|-60 54 39.960|0.202736911853       |     3.0e-12| 2.81280e-16|         8.0e-20| 280.27000| 0.03000|        1.400|              0.300|           |                 |               |        |            |                  |        |           |              |          |                |    2.43|R          |1.14e+07|2.42e+11|                   |
|PSR J2324-6054  |23 24 27.1500|-60 54 05.800|2.34748836314        |     5.0e-11| 2.57700e-15|         5.0e-18|  14.00000| 0.60000|        1.000|              0.200|           |                 |               |        |            |                  |        |           |              |          |                |    1.21|R          |1.44e+07|2.49e+12|                   |
